,city,state,postal_code,latitude,longitude,review_count,is_open
28413,Philadelphia,PA,19103,39.9570188,-75.1758021,152,1
27716,Tucson,AZ,85745,32.2348577,-110.9905043,254,1
26408,Tampa,FL,33635,28.0336731,-82.646985,13,1
27775,Brentwood,TN,37027,36.033157,-86.789098,16,1
51520,Franklin,TN,37064,35.9261919,-86.8729634,46,1
41884,Saint Louis,MO,63112,38.6486511256,-90.2852153778,5,0
34834,Greenwood,IN,46142,39.6141740325,-86.1569594043,69,0
33183,St Louis,MO,63134,38.735198,-90.357241,165,1
5689,Nashville,TN,37203,36.162325,-86.791128,25,0
9266,Goleta,CA,93117,34.44083,-119.828674,155,1
32891,University City,MO,63130,38.6564186,-90.3080035,45,1
30840,New Orleans,LA,70116,29.9588312294,-90.0610717688,1781,0
2585,Brentwood,MO,63144,38.6114333852,-90.3367999215,75,0
18140,Brentwood,TN,37027,36.031314,-86.8024729,14,1
45735,Edmonton,AB,T5J 3N8,53.5390543,-113.5044628,5,1
41001,Apollo Beach,FL,33572,27.7708666,-82.3922161,71,1
36199,Drexel Hill,PA,19026,39.9446541,-75.2963333,29,0
38866,Tampa,FL,33618,28.054556,-82.503337,112,1
14914,New Orleans,LA,70130,29.940252,-90.074216,751,1
14151,Philadelphia,PA,19106,39.9520404,-75.147515,12,1
28240,Spring Hill,FL,34606,28.4511943,-82.5940263,18,0
44758,Saint Louis,MO,63108,38.6340076,-90.2373733,31,0
34679,St. Louis,MO,63109,38.5939397496,-90.2990555763,44,1
46425,Saint Louis,MO,63103,38.6354292,-90.2234069,221,1
36635,Indianapolis,IN,46225,39.762477,-86.160924,11,1
35548,St Pete Beach,FL,33706,27.736118,-82.7513751,59,1
17292,Willow Grove,PA,19090,40.1394916,-75.1131703,220,0
25333,Woodstown,NJ,08098,39.645225,-75.337802,6,1
17992,Philadelphia,PA,19140,40.0108382428,-75.1396588236,16,1
24833,Indianapolis,IN,46226,39.8294352153,-86.0423851758,13,1
24387,Meridian,ID,83642,43.6205545,-116.3818794,56,1
47686,Nashville,TN,37203,36.143861,-86.813553,50,0
19643,Gretna,LA,70056,29.9032615,-90.050255337,22,1
23654,Philadelphia,PA,19125,39.9692358,-75.134788,631,1
33539,Tucson,AZ,85746,32.1338908,-111.0262579,5,0
2699,Saint Louis,MO,63105,38.6474137,-90.3393029,70,1
24903,HUdson,FL,34667,28.3849152,-82.6735074,17,0
45913,Philadelphia,PA,19121,39.9869523271,-75.1806329191,15,1
7779,Santa Barbara,CA,93103,34.4169717235,-119.6770748713,32,1
43377,Philadelphia,PA,19144,40.0408335,-75.1574681,11,1
33894,Media,PA,19063,39.9143151441,-75.4338523064,48,1
20303,Warrington,PA,18976,40.245521,-75.134853,78,1
15779,Glen Mills,PA,19342,39.8662199,-75.5429976,21,1
30433,Redingtn Shor,FL,33708,27.827982,-82.829729,271,1
26487,Nashville,TN,37209,36.1409689,-86.8399143,23,0
23921,St. Petersburg,FL,33705,27.7713669,-82.6493879,101,0
37147,Tampa,FL,33617,28.0534278,-82.3945471,115,1
2889,Collingswood,NJ,08108,39.9141403,-75.0617798,7,1
51934,Nashville,TN,37203,36.151523,-86.7998217,11,0
7729,Philadelphia,PA,19133,39.995528,-75.1297621,29,1
10028,Collegeville,PA,19426,40.2247095,-75.4534536,21,1
13781,Perkasie,PA,18944,40.3695515,-75.2958676,17,1
16005,Saint Louis,MO,63101,38.6300076,-90.1921261,31,1
51707,Florissant,MO,63031,38.7894795,-90.346395,23,1
18830,Nashville,TN,37013,36.0592679,-86.6706077,27,1
30356,Elkins Park,PA,19027,40.063,-75.13678,18,0
35105,Reno,NV,89523,39.527922,-119.8824436,26,1
41082,Philadelphia,PA,19104,39.9535536,-75.1931768,322,1
24876,Carmel,IN,46032,39.9399367,-86.2346159,110,0
26672,Arnold,MO,63010,38.416496,-90.393812,35,1
23063,Tucson,AZ,85713,32.1800459002,-110.9806063144,15,1
2374,Riverview,FL,33578,27.8564449,-82.3302362,108,1
34580,Saint Petersburg,FL,33713,27.7796865594,-82.67979,14,1
46495,Ruskin,FL,33573,27.7130217,-82.373124,29,1
13607,Ivyland,PA,18974,40.2123470531,-75.0580483,10,1
20706,Yardley,PA,19067,40.242178,-74.8381252,84,1
49510,Lambertville,NJ,08530,40.3667779,-74.9439979,40,1
6611,West Chester,PA,19380,40.0098773,-75.5943486706,26,1
10750,Madeira Beach,FL,33708,27.8022436,-82.8018983,28,0
46830,Marlton,NJ,08053,39.894350262,-74.9341124296,38,1
6442,Indianapolis,IN,46241,39.7494214,-86.2164985,142,1
25370,Indianapolis,IN,46225,39.761679,-86.15995,30,1
34953,Metairie,LA,70005,30.001442,-90.141573,14,1
6741,Tucson,AZ,85745,32.2501242,-111.007689,78,1
35558,Reno,NV,89502,39.51515,-119.802918,35,1
31219,Tucson,AZ,85715,32.2426012,-110.8566424,191,1
9847,Philadelphia,PA,19145,39.9247438,-75.171114,8,1
43282,Collinsville,IL,62234,38.6767130964,-90.0160242613,5,1
49405,Philadelphia,PA,19121,39.9782363,-75.1582145,39,0
14752,Westmont - Haddon Towsship,NJ,08108,39.9085459,-75.0463973,10,0
4044,Tucson,AZ,85749,32.2593958692,-110.7994099786,26,0
40215,Philadelphia,PA,19104,39.9545950448,-75.1951047019,217,1
8524,Indianapolis,IN,46240,39.8877206464,-86.1214834437,52,1
29768,Indianapolis,IN,46231,39.7625699,-86.2901569,7,0
44954,Philadelphia,PA,19106,39.9489186,-75.1471667,1561,1
24997,Bryn Mawr,PA,19010,40.02333,-75.3221897,17,0
31390,Philadelphia,PA,19142,39.9264441817,-75.2335146815,52,1
3584,King Of Prussia,PA,19406,40.0841953351,-75.3873682022,148,0
11320,Wynnewood,PA,19003,40.0010162,-75.275672,27,0
52027,Hendersonville,TN,37075,36.3195932,-86.5978667,78,1
48131,New Orleans,LA,70119,29.9753472,-90.1011957,104,1
15403,Valley Park,MO,63088,38.566783453,-90.4962674,14,1
39742,Tampa,FL,33603,27.9819779,-82.4841817,26,1
5935,Sun City Center,FL,33573,27.712883544,-82.3367389245,14,1
35930,Edmonton,AB,T6G 1K1,53.52276,-113.520491,51,1
4697,Chalmette,LA,70043,29.9416821,-89.962297,22,1
44867,Philadelphia,PA,19104,39.951057,-75.1984762,50,1
16530,Brandon,FL,33511,27.9268078868,-82.3157293657,181,1
35325,Tampa,FL,33618,28.0782593,-82.5061629,60,1
12073,Meridian,ID,83642,43.589823,-116.357552,75,1
943,Morton,PA,19070,39.9172916,-75.331789,8,1
34106,Metairie,LA,70002,30.0038785,-90.1761674,43,1
25053,Drexel Hill,PA,19026,39.9642978,-75.303158,66,1
9334,Philadelphia,PA,19107,39.954001,-75.157184,163,1
18233,Franklin,TN,37067,35.951611,-86.807834,999,1
1705,Mt. Laurel,NJ,08054,39.9235950202,-74.9518829779,168,1
1194,Saint Petersburg,FL,33708,27.8147072,-82.7726842,9,0
46861,Tucson,AZ,85719,32.2547888119,-110.9441870405,48,0
8789,Philadelphia,PA,19147,39.9411183,-75.1490884,8,1
41431,Westville,NJ,08093,39.8473292,-75.1258507,11,1
15159,Nashville,TN,37217,36.1318569,-86.716548,103,1
47598,Wilmington,DE,19805,39.7408326,-75.5925737,49,1
31353,Fairless Hills,PA,19030,40.180089,-74.8678001,9,1
30019,Saint Louis,MO,63131,38.6027111,-90.447945,9,1
34618,Tarpon Springs,FL,34689,28.1444536,-82.773836,88,1
12930,Philadelphia,PA,19107,39.9518185,-75.1603207,67,0
38010,St. Louis,MO,63125,38.5318436,-90.2881088108,23,0
30948,Richmond Heights,MO,63117,38.627975,-90.332981,44,0
52252,Philadelphia,PA,19104,39.9533907,-75.1967651,8,0
6300,La Vergne,TN,37086,36.0290209,-86.5501654,13,1
3907,Clearwater,FL,33756,27.9343433,-82.7878604,16,1
18301,Yardley,PA,19067,40.2404162,-74.8357491,128,1
8805,Indianapolis,IN,46202,39.7690758,-86.1447288,29,0
25214,Nashville,TN,37203,36.1475075,-86.7990809629,264,1
4260,Abington,PA,19001,40.1240716,-75.1329107,8,0
22330,Saint Louis,MO,63119,38.6089145,-90.3675349,110,1
10990,Montecito,CA,93108,34.438305,-119.633186,77,1
24185,Edmonton,AB,T5P 3Y1,53.5412569,-113.5809493,6,0
42007,Doylestown,PA,18901,40.3226786738,-75.1300638914,30,1
630,Santa Barbara,CA,93101,34.4211189,-119.690633,5,1
44584,Dunedin,FL,34698,28.015515,-82.786851,172,1
21113,St. Louis,MO,63125,38.5308368,-90.2644983,50,1
8100,Ridley Park,PA,19078,39.879137,-75.3121096,29,1
41604,Edmonton,AB,T5K 2G2,53.5474092999,-113.5283314,18,1
51010,Philadelphia,PA,19151,39.9794794,-75.2688757,6,1
33148,Reno,NV,89502,39.473235,-119.786862,55,1
18662,Brandon,FL,33511,27.9383246,-82.2639321,10,1
7078,Reno,NV,89509,39.5052528381,-119.8156738281,7,0
29633,Fenton,MO,63026,38.5039837825,-90.4448360503,10,1
3298,Runnemede,NJ,08078,39.8532563,-75.0663164,53,1
10944,Indianapolis,IN,46225,39.759889,-86.1570461,223,0
11047,Upper Darby,PA,19082,39.953895,-75.274476,10,1
4203,Indianapolis,IN,46112,39.8638689,-86.3984793,9,1
50202,Philadelphia,PA,19135,40.0328076,-75.0482692,20,1
27571,St. Petersburg,FL,33712,27.7633387,-82.6628926,22,1
30702,Philadelphia,PA,19147,39.9418027,-75.1495444,47,0
46251,Indianapolis,IN,46250,39.9043966712,-86.0778414768,97,1
21835,Philadelphia,PA,19102,39.9554133,-75.1645002,5,0
18158,Overland,MO,63114,38.6993708,-90.3621294,10,1
44529,Saint Louis,MO,63108,38.6351287,-90.238311,142,1
31909,Spring Hill,FL,34609,28.461533,-82.538889,18,1
34159,Penns Grove,NJ,08069,39.6978890697,-75.3966121444,11,1
47371,Saint Louis,MO,63132,38.6913530424,-90.3916588426,37,1
22841,Philadelphia,PA,19114,40.0844101,-75.0240676748,128,1
12677,Nashville,TN,37207,36.202465,-86.777158,17,1
14809,New Orleans,LA,70130,29.9480889454,-90.0742015433,37,1
9424,Beech Grove,IN,46107,39.7219101,-86.0907661,120,1
36669,Edmonton,AB,T5E 2C2,53.5987021,-113.4928155,12,1
42866,Reno,NV,89521,39.4380682426,-119.7581145968,105,1
32675,Fairview Heights,IL,62208,38.591107,-89.9896272,9,1
5261,Plant City,FL,33563,28.0163727,-82.1228016,9,0
13953,Edmonton,AB,T6W,53.4347516879,-113.6030844811,25,1
47754,Philadelphia,PA,19111,40.0763366,-75.0859248,24,1
10855,Paulsboro,NJ,08066,39.8301467,-75.2407513,8,0
51155,Reno,NV,89506,39.612553,-119.848015,88,1
15823,Palm Harbor,FL,34683,28.0988387466,-82.7391817658,60,1
44476,Fishers,IN,46038,39.927525,-86.0335765,188,1
849,Ewing Township,NJ,08638,40.2507665,-74.7783937,10,1
39164,Saint Louis,MO,63122,38.570146,-90.476857,43,1
46608,Tampa,FL,33610,27.9936807,-82.4353526,12,1
16180,Olivette,MO,63132,38.673484,-90.3680077,21,1
31794,King Of Prussia,PA,19406,40.088307439,-75.3941364706,205,1
7220,Seffner,FL,33584,27.9820098,-82.30896,14,1
41921,Philadelphia,PA,19124,40.0179104,-75.0829587,30,1
8753,Philadelphia,PA,19104,39.952821,-75.210442,494,1
11137,Tampa,FL,33612,28.057042,-82.4297265,16,0
4537,Clearwater,FL,33765,27.9600935,-82.7534613,63,1
44445,Trenton,NJ,08611,40.198011,-74.756242,37,0
22579,Philadelphia,PA,19136,40.0458955167,-75.0159519917,60,1
34109,Maryland Heights,MO,63043,38.713524,-90.456769,38,1
48461,Nashville,TN,37204,36.126037,-86.7895655,23,0
24617,Doylestown,PA,18901,40.2724246,-75.1270907,11,0
48993,Conshohocken,PA,19428,40.094198,-75.288363,45,1
21796,Boyertown,PA,19512,40.3275272,-75.6483343,53,1
5701,Sparks,NV,89431,39.547653,-119.752367,9,1
50758,New Orleans,LA,70112,29.9595769,-90.0770127,9,0
25652,Nashville,TN,37214,36.1456268,-86.6674438,86,1
28986,Exton,PA,19341,40.054891,-75.6634701,44,1
38470,Hatfield,PA,19440,40.2900580975,-75.2671410294,26,1
13160,Edmonton,AB,T6G 2L7,53.5214101,-113.5203104,8,1
3790,Philadelphia,PA,19140,40.0233829,-75.1483587,59,1
16446,Tampa,FL,33605,27.9600821,-82.438332,72,1
49131,Meridian,ID,83642,43.5964395,-116.4287965,9,1
37368,St. Petersburg,FL,33705,27.7717156512,-82.6500742611,422,1
46002,Saint Louis,MO,63102,38.6326828,-90.1847681,44,0
12145,Santa Barbara,CA,93111,34.435934,-119.8028451,206,1
38672,Philadelphia,PA,19139,39.9658774,-75.2458779,16,1
51726,Nashville,TN,37206,36.1877579617,-86.7463213882,5,1
13716,Tampa,FL,33634,28.0250944058,-82.5392128274,13,1
3965,Edmonton,AB,T6H 4J9,53.4914254,-113.4935353,8,1
25477,Somerdale,NJ,08083,39.8432179,-75.0162652,9,1
24039,Tucson,AZ,85705,32.2284953,-110.9657865,730,1
39662,Boise,ID,83702,43.6757593018,-116.1693785036,7,0
35453,McCordsville,IN,46055,39.8960216081,-85.917568709,124,1
25077,Philadelphia,PA,19107,39.9552485,-75.1562486,76,0
44313,Indianapolis,IN,46254,39.824176,-86.253794,72,0
1611,Nashville,TN,37201,36.1599355658,-86.7759658783,107,1
12230,Goodlettsville,TN,37072,36.298379,-86.7003808,6,1
44049,Philadelphia,PA,19103,39.952089,-75.1719899,65,0
32348,Madison,TN,37115,36.294991,-86.701705,6,1
34389,Sunset Hills,MO,63127,38.5572173796,-90.406540426,70,1
35979,Caseyville,IL,62232,38.617454,-90.044128,6,0
44,Fairview Heights,IL,62208,38.6012982,-89.9896835,14,1
8290,Antioch,TN,37013,36.068666,-86.693869,7,1
17724,New Castle,DE,19720,39.6644824752,-75.6112920149,11,1
14588,Reno,NV,89501,39.52874,-119.818876,269,1
13532,Tampa,FL,33626,28.04209,-82.5818676851,327,1
46573,Tucson,AZ,85719,32.228134,-110.956758,12,0
48127,Tucson,AZ,85730,32.1185089,-110.7977832,8,1
27698,Reno,NV,89502,39.5076894,-119.8020731,94,1
45367,Saint Petersburg,FL,33712,27.7609953,-82.6630218,91,0
30202,Bridgeton,NJ,08302,39.5068718,-75.3460102,19,1
46061,Saint Louis,MO,63129,38.4665627,-90.3064441,9,1
47473,Lambertville,NJ,08530,40.365977,-74.94523,11,0
46515,St. Louis,MO,63129,38.5068551375,-90.330052962,33,1
37534,St Louis,MO,63118,38.593755,-90.230831,6,0
37563,Tucson,AZ,85719,32.2314902,-110.9573463,12,0
43464,Tampa,FL,33612,28.0379657,-82.4515312,10,1
51375,Indianapolis,IN,46225,39.765946,-86.164638,66,0
28111,Ardmore,PA,19003,39.9945508,-75.2997637,31,0
24363,Tampa,FL,33618,28.064665,-82.502782,24,0
5623,Smyrna,TN,37167,35.9852357,-86.5528079,32,1
13144,Santa Barbara,CA,93101,34.4220625,-119.7029317,133,0
19677,Saint Petersburg,FL,33702,27.8697602,-82.6162438,345,1
50984,New Orleans,LA,70130,29.9472121,-90.0715342,54,0
45951,Philadelphia,PA,19147,39.941204,-75.165127,40,0
18172,King of Prussia,PA,19406,40.0895599694,-75.3849254199,8,1
5833,Antioch,TN,37013,36.0591389,-86.7032178,22,1
44878,New Orleans,LA,70130,29.9463894,-90.0675592,70,0
8780,Santa Barbara,CA,93106,34.411663,-119.847796,10,1
42841,Edmonton,AB,T6K 2N2,53.4734899292,-113.4505195543,5,1
29338,Philadelphia,PA,19129,40.0104725648,-75.1761489362,18,0
40571,Tampa,FL,33612,28.0548726769,-82.459092401,226,1
34004,Philadelphia,PA,19148,39.9042894,-75.1694047,60,1
28060,Edmonton,AB,T6C 4B2,53.5003471549,-113.457359762,5,1
12892,Metairie,LA,70003,29.979654,-90.23434,10,1
4487,Philadelphia,PA,19144,40.042051,-75.1802359,7,0
4443,Wilmington,DE,19806,39.7572041818,-75.5618576333,77,0
20253,St. Louis,MO,63104,38.6101082,-90.2411238,88,1
47626,Malvern,PA,19355,40.040342,-75.548986,207,1
31270,Hermitage,TN,37076,36.1893803543,-86.6270558493,41,1
16812,Indianapolis,IN,46250,39.9089873,-86.0652423,10,1
52076,Bristol,PA,19007,40.1188077,-74.8456017,16,0
6232,Tampa,FL,33647,28.1460177958,-82.354815,289,1
38955,Philadelphia,PA,19106,39.9490604639,-75.147732608,6,1
27578,Edmonton,AB,T5H 3J6,53.538841,-113.5066009,9,0
7226,New Orleans,LA,70130,29.944121,-90.066954,23,0
27607,Tampa,FL,33602,27.9461636,-82.4595727,17,0
44680,Zephyrhills,FL,33542,28.231096,-82.189052,7,0
3072,Brandon,FL,33510,27.9387182,-82.2860935,203,1
43095,Saint Petersburg,FL,33714,27.8217731,-82.6626549,104,1
18618,Bryn Mawr,PA,19010,40.0216041,-75.3189533,126,0
16039,Levittown,PA,19055,40.143932,-74.822626,38,1
12718,Largo,FL,33771,27.91728,-82.7735746,84,1
22159,Nashville,TN,37209,36.1517081701,-86.8198794742,395,1
28560,Edmonton,AB,T5J 5C6,53.541587,-113.488215,11,1
15865,Jefferson,LA,70121,29.9617757,-90.1836335,26,1
30786,Sewell,NJ,08080,39.734394,-75.067833,19,1
11274,Philadelphia,PA,19147,39.9360042563,-75.1585241407,7,0
35145,Downingtown,PA,19335,40.003565,-75.70797,47,0
39743,Philadelphia,PA,19107,39.947168,-75.1594219,39,0
20599,Tampa,FL,33612,28.0696849,-82.4313267,188,1
38026,Saint Louis,MO,63131,38.6029998,-90.4409506,5,0
19712,New Orleans,LA,70130,29.952722,-90.067392,46,1
29238,Philadelphia,PA,19121,39.9870884,-75.1758676,23,1
36771,Trenton,NJ,08638,40.2374117,-74.7486229,115,1
22156,Harvey,LA,70058,29.8859614,-90.0534464,64,0
43499,Kenner,LA,70062,29.9943857,-90.2421091,16,0
18648,Clearwater,FL,33759,27.9666199,-82.7159145,9,0
4125,New Orleans,LA,70119,29.9863011,-90.0762604,6,0
36537,Saint Petersburg,FL,33709,27.81527,-82.726694,5,1
26821,New Orleans,LA,70130,29.9324048,-90.0745489,297,1
15663,Saint Louis,MO,63102,38.6237065,-90.1918757,229,1
11571,Saint Petersburg,FL,33710,27.7937118,-82.7331686,6,1
25714,Philadelphia,PA,19106,39.948832,-75.144063,352,1
39189,Philadelphia,PA,19149,40.041592,-75.055007,132,1
50822,Tucson,AZ,85743,32.3562108,-111.1133599,11,0
44392,Philadelphia,PA,19130,39.9616110034,-75.166640635,60,1
29001,Camden,NJ,08102,39.947942,-75.12042,6,0
28707,Folcroft,PA,19032,39.8929858,-75.283702,8,1
3116,Odessa,FL,33556,28.1449765,-82.5991427,38,1
42873,Madeira Beach,FL,33708,27.7857416357,-82.7810238894,1060,1
16686,Tampa,FL,33602,27.9409384354,-82.4539652798,97,0
18494,Philadelphia,PA,19111,40.0589830156,-75.0754031539,87,1
3763,Tucson,AZ,85705,32.289324,-110.975233,16,1
46720,Nashville,TN,37203,36.1518462,-86.7839202,413,1
51379,Boise,ID,83714,43.6200562165,-116.2342307622,11,1
1809,Wesley Chapel,FL,33544,28.1862569,-82.3674802,136,1
7099,Saint Louis,MO,63108,38.6395,-90.240304,66,0
45299,Sherwood Park,AB,T8H 2A3,53.543156,-113.312267,7,1
41531,Greenwood,IN,46142,39.6346434,-86.1260214,5,0
6444,Reno,NV,89506,39.6241196047,-119.8826954,36,1
43755,Indianapolis,IN,46254,39.8271986288,-86.2407314711,24,0
41619,Newark,DE,19702,39.6785388,-75.651599,13,0
46278,Reno,NV,89521,39.4253778,-119.7509683,31,1
17333,Mount Juliet,TN,37122,36.1655445,-86.5139282,61,1
41181,Lebanon,TN,37090,36.188318,-86.4108606,12,1
16529,Clearwater,FL,33765,27.9614115,-82.7624166,771,1
14155,Perkasie,PA,18944,40.352775115,-75.2768637901,10,0
1454,Goleta,CA,93117,34.4355701009,-119.8247056485,329,1
34614,New Orleans,LA,70119,29.9618397516,-90.089962768,5,0
6582,Santa Barbara,CA,93105,34.440871,-119.753054,56,1
32180,Philadelphia,PA,19139,39.9553977,-75.2341756,13,1
25875,Philadelphia,PA,19123,39.9698199,-75.1426312,217,0
30527,Mt. Juliet,TN,37122,36.1752548218,-86.5147628784,44,1
4404,Nashville,TN,37212,36.1390165,-86.7969244,5,1
29836,New Orleans,LA,70115,29.9268988,-90.0996134,233,1
26706,Philadelphia,PA,19104,39.952099,-75.195154,50,0
40630,Bensalem,PA,19020,40.0806,-74.946159,25,1
20791,Metairie,LA,70001,29.975371,-90.1716257,9,0
13339,Philadelphia,PA,19149,40.036958,-75.0415951,90,1
2396,King of Prussia,PA,19406,40.087777,-75.393182,10,0
32113,New Orleans,LA,70124,29.9824220983,-90.1102110118,10,1
20124,West Chester,PA,19382,39.9599224,-75.6043046,5,0
23444,Sparks,NV,89434,39.533125,-119.7177635,212,0
21482,Camby,IN,46113,39.6423644,-86.333358,26,1
24753,Edmonton,AB,T6N 1M5,53.4457818,-113.4855743,78,0
18907,Edmonton,AB,T5E 1Y8,53.5995804605,-113.4942469373,43,1
1086,Oldsmar,FL,34677,28.0370281081,-82.6571657675,17,0
213,Reno,NV,89501,39.5295616355,-119.8145651258,592,1
22898,Stratford,NJ,08084,39.8330919,-75.0054246,6,1
20495,Philadelphia,PA,19138,40.0594832,-75.1647422,5,1
6616,Pottstown,PA,19464,40.2447317,-75.6012581,45,1
25268,Harvey,LA,70058,29.8753196,-90.0475677,26,1
1028,Nashville,TN,37211,36.0464907,-86.7133917,12,0
2326,Mooresville,IN,46158,39.6191069793,-86.3521051528,17,1
6627,Largo,FL,33778,27.8924417,-82.7877623,55,0
47629,Edmonton,AB,T6A 0G7,53.5403405203,-113.4203735269,23,1
44045,Sherwood Park,AB,T8A 3H9,53.531001,-113.2933251,5,1
23245,Hendersonville,TN,37075,36.319213,-86.623382,44,1
12542,Philadelphia,PA,19139,39.9621917,-75.2443677,25,1
48904,Philadelphia,PA,19102,39.954608,-75.163381,35,0
9566,Philadelphia,PA,19148,39.925195,-75.1600137,111,1
38242,Edmonton,AB,T6E 5J6,53.4897271,-113.4556129,15,1
12831,Langhorne,PA,19047,40.1777913313,-74.8810054383,96,1
351,Port Richey,FL,34668,28.2867431,-82.7152898,9,0
7148,Affton,MO,63123,38.5425149,-90.3234673,33,0
15585,Clearwater,FL,33762,27.894467,-82.6648196,82,1
7855,Largo,FL,33778,27.8975869,-82.7874765,26,0
40814,Ruskin,FL,33570,27.7234864,-82.4334319,33,1
40827,Tarpon Springs,FL,34689,28.1343300729,-82.7408317117,153,1
48557,Clayton,NJ,08312,39.6577861482,-75.0918561593,7,1
